File accession	File format	Output type	Experiment accession	Assay	Biosample organism	Experiment target	Size	Assembly
ENCFF503VEU	bam	alignments	ENCSR000EBY	ChIP-seq	Homo sapiens	MYC-human	703537687	GRCh38
ENCFF944TNR	bam	alignments	ENCSR000AUE	ChIP-seq	Homo sapiens	CTCF-human	274238842	GRCh38
ENCFF349TVK	bam	alignments	ENCSR000EIA	ChIP-seq	Homo sapiens	MXI1-human	727711855	GRCh38
ENCFF553QXD	bam	alignments	ENCSR633OVO	ChIP-seq	Homo sapiens	RFX3-human	2049119246	GRCh38
ENCFF729SHE	bam	alignments	ENCSR541AMF	ChIP-seq	Homo sapiens	CTCF-human	3903325338	GRCh38
ENCFF552FKA	bam	alignments	ENCSR000EBS	ChIP-seq	Homo sapiens	MAFK-human	939327840	GRCh38
ENCFF088ESD	bam	alignments	ENCSR000DPP	ChIP-seq	Homo sapiens	CTCF-human	370476317	GRCh38
ENCFF503TSJ	bam	alignments	ENCSR000BRB	ChIP-seq	Homo sapiens	CREB1-human	482505324	GRCh38
ENCFF721HMO	bam	alignments	ENCSR006WUS	ChIP-seq	Homo sapiens	NEUROD1-human	2954895614	GRCh38
ENCFF651ZZS	bam	alignments	ENCSR265PFQ	ChIP-seq	Homo sapiens	CTCF-human	5086180150	GRCh38
ENCFF353RVO	bam	alignments	ENCSR307CKC	ChIP-seq	Homo sapiens	ZNF680-human	5028084865	GRCh38
ENCFF207QWX	bam	alignments	ENCSR714LZQ	ChIP-seq	Homo sapiens	ZNF664-human	4420693368	GRCh38
ENCFF553GDL	bam	alignments	ENCSR000BNL	ChIP-seq	Homo sapiens	SP2-human	108646163	GRCh38
ENCFF313RZR	bam	alignments	ENCSR000DYR	ChIP-seq	Homo sapiens	CUX1-human	482599241	GRCh38
ENCFF890OOH	bam	alignments	ENCSR000BIV	ChIP-seq	Homo sapiens	SRF-human	368406397	GRCh38
ENCFF076LAL	bam	alignments	ENCSR252XWG	ChIP-seq	Homo sapiens	CTCF-human	3944951342	GRCh38
ENCFF675JRZ	bam	alignments	ENCSR000EDS	ChIP-seq	Homo sapiens	MAX-human	555495049	GRCh38
ENCFF250ZEU	bam	alignments	ENCSR415AEB	ChIP-seq	Homo sapiens	ZNF48-human	1915484676	GRCh38
ENCFF448PRG	bam	alignments	ENCSR826YMT	ChIP-seq	Homo sapiens	SMAD4-human	1861597559	GRCh38
ENCFF284MLL	bam	alignments	ENCSR603XLW	ChIP-seq	Homo sapiens	ZNF589-human	730792075	GRCh38
ENCFF803DFJ	bam	alignments	ENCSR705ASR	ChIP-seq	Homo sapiens	ZSCAN23-human	4431395949	GRCh38
ENCFF229CPP	bam	alignments	ENCSR475SOC	ChIP-seq	Homo sapiens	ELF1-human	1510757725	GRCh38
ENCFF767TQD	bam	alignments	ENCSR000DOP	ChIP-seq	Homo sapiens	FOS-human	836087212	GRCh38
ENCFF191KBY	bam	alignments	ENCSR038RXU	ChIP-seq	Homo sapiens	GABPA-human	797442901	GRCh38
ENCFF970NDQ	bam	alignments	ENCSR351NON	ChIP-seq	Homo sapiens	ZNF629-human	4448448622	GRCh38
ENCFF563UOO	bam	alignments	ENCSR443WKD	ChIP-seq	Homo sapiens	CTCF-human	2604375272	GRCh38
ENCFF458TQM	bam	alignments	ENCSR447ZTA	ChIP-seq	Homo sapiens	ZNF558-human	3777062046	GRCh38
ENCFF049OXC	bam	alignments	ENCSR000AHD	ChIP-seq	Homo sapiens	CTCF-human	759570834	GRCh38
ENCFF190HOH	bam	alignments	ENCSR594NSU	ChIP-seq	Homo sapiens	CTCF-human	2585712354	GRCh38
ENCFF970KZJ	bam	alignments	ENCSR668BTN	ChIP-seq	Homo sapiens	CTCF-human	4536317454	GRCh38
ENCFF832UST	bam	alignments	ENCSR000DZG	ChIP-seq	Homo sapiens	EP300-human	506260300	GRCh38
ENCFF732IVC	bam	alignments	ENCSR000EBW	ChIP-seq	Homo sapiens	ZNF143-human	874998410	GRCh38
ENCFF459MFF	bam	alignments	ENCSR000BRE	ChIP-seq	Homo sapiens	FOXA2-human	434257696	GRCh38
ENCFF597WPX	bam	alignments	ENCSR750LYM	ChIP-seq	Homo sapiens	NR2C2-human	1380204496	GRCh38
ENCFF581AZU	bam	alignments	ENCSR239ZLZ	ChIP-seq	Homo sapiens	FOSL1-human	1366161373	GRCh38
ENCFF690YWW	bam	alignments	ENCSR257XVY	ChIP-seq	Homo sapiens	ZNF83-human	805892387	GRCh38
ENCFF482NBS	bam	alignments	ENCSR669GUM	ChIP-seq	Homo sapiens	ZNF404-human	3814770458	GRCh38
ENCFF664APT	bam	alignments	ENCSR000DNA	ChIP-seq	Homo sapiens	CTCF-human	936074611	GRCh38
ENCFF691KNW	bam	alignments	ENCSR754SOI	ChIP-seq	Homo sapiens	ZNF529-human	3845232246	GRCh38
ENCFF826JBZ	bam	alignments	ENCSR882ICT	ChIP-seq	Homo sapiens	ZNF384-human	7638320386	GRCh38
ENCFF652SLC	bam	alignments	ENCSR777YSB	ChIP-seq	Homo sapiens	ZNF781-human	2801652025	GRCh38
ENCFF278LWC	bam	alignments	ENCSR000DPS	ChIP-seq	Homo sapiens	CTCF-human	656700088	GRCh38
ENCFF579ORJ	bam	alignments	ENCSR792VMN	ChIP-seq	Homo sapiens	EP300-human	487614753	GRCh38
ENCFF638HCT	bam	alignments	ENCSR407BEZ	ChIP-seq	Homo sapiens	ZHX2-human	992394488	GRCh38
ENCFF505LKJ	bam	alignments	ENCSR000DRN	ChIP-seq	Homo sapiens	CTCF-human	436896839	GRCh38
ENCFF211RJJ	bam	alignments	ENCSR796VBR	ChIP-seq	Homo sapiens	HES2-human	627853944	GRCh38
ENCFF791DRP	bam	alignments	ENCSR182OZC	ChIP-seq	Homo sapiens	CEBPB-human	498275186	GRCh38
ENCFF997MKZ	bam	alignments	ENCSR000DLU	ChIP-seq	Homo sapiens	MYC-human	492668957	GRCh38
ENCFF014OEB	bam	alignments	ENCSR028NUR	ChIP-seq	Homo sapiens	ZNF592-human	2999132986	GRCh38
ENCFF577KAH	bam	alignments	ENCSR000DZF	ChIP-seq	Homo sapiens	MAX-human	647409185	GRCh38
ENCFF044ZFD	bam	alignments	ENCSR000EFH	ChIP-seq	Homo sapiens	MAFK-human	728262178	GRCh38
ENCFF916TXZ	bam	alignments	ENCSR443MVV	ChIP-seq	Homo sapiens	PRDM4-human	4899062069	GRCh38
ENCFF277PVA	bam	alignments	ENCSR663WAR	ChIP-seq	Homo sapiens	REST-human	929951084	GRCh38
ENCFF193XUN	bam	alignments	ENCSR984MDV	ChIP-seq	Homo sapiens	ZNF24-human	4472134685	GRCh38
ENCFF063NKS	bam	alignments	ENCSR101FJU	ChIP-seq	Homo sapiens	ZNF384-human	848425799	GRCh38
ENCFF204QUC	bam	alignments	ENCSR798NVH	ChIP-seq	Homo sapiens	CTCF-human	4255318741	GRCh38
ENCFF994ZHD	bam	alignments	ENCSR000BQK	ChIP-seq	Homo sapiens	ATF2-human	1074310346	GRCh38
ENCFF439NNR	bam	alignments	ENCSR000FAZ	ChIP-seq	Homo sapiens	MYC-human	282690289	GRCh38
ENCFF404QMD	bam	alignments	ENCSR000BID	ChIP-seq	Homo sapiens	BHLHE40-human	272813134	GRCh38
ENCFF097CBF	bam	alignments	ENCSR966PJJ	ChIP-seq	Homo sapiens	WT1-human	3687526702	GRCh38
ENCFF972SQO	bam	alignments	ENCSR000BKD	ChIP-seq	Homo sapiens	YY1-human	350529840	GRCh38
ENCFF276PEK	bam	alignments	ENCSR481FEC	ChIP-seq	Homo sapiens	ZBTB8A-human	4356995125	GRCh38
ENCFF930EXY	bam	alignments	ENCSR000BMZ	ChIP-seq	Homo sapiens	ELF1-human	621893194	GRCh38
ENCFF994NWU	bam	alignments	ENCSR000AKB	ChIP-seq	Homo sapiens	CTCF-human	674838876	GRCh38
ENCFF801LQC	bam	alignments	ENCSR490LWA	ChIP-seq	Homo sapiens	CEBPG-human	6154385409	GRCh38
ENCFF111DMT	bam	alignments	ENCSR000ECB	ChIP-seq	Homo sapiens	TBP-human	730150773	GRCh38
ENCFF494OJC	bam	alignments	ENCSR115SMW	ChIP-seq	Homo sapiens	PKNOX1-human	4311976089	GRCh38
ENCFF580OKG	bam	alignments	ENCSR798EGJ	ChIP-seq	Homo sapiens	RNF2-human	1054928606	GRCh38
ENCFF661DJE	bam	alignments	ENCSR558OMR	ChIP-seq	Homo sapiens	TFDP1-human	1249025176	GRCh38
ENCFF115QJZ	bam	alignments	ENCSR000DUM	ChIP-seq	Homo sapiens	CTCF-human	537599378	GRCh38
ENCFF500YYZ	bam	alignments	ENCSR322CFO	ChIP-seq	Homo sapiens	ZEB2-human	3823902143	GRCh38
ENCFF031RFG	bam	alignments	ENCSR878DES	ChIP-seq	Homo sapiens	ZNF624-human	5003937494	GRCh38
ENCFF351CVI	bam	alignments	ENCSR000DML	ChIP-seq	Homo sapiens	CTCF-human	815923509	GRCh38
ENCFF179DZP	bam	alignments	ENCSR737LTZ	ChIP-seq	Homo sapiens	MYNN-human	1009499620	GRCh38
ENCFF472MGT	bam	alignments	ENCSR626VUC	ChIP-seq	Homo sapiens	ETV6-human	1304221358	GRCh38
ENCFF746KIU	bam	alignments	ENCSR000ATN	ChIP-seq	Homo sapiens	CTCF-human	297455061	GRCh38
ENCFF239WGU	bam	alignments	ENCSR000EGS	ChIP-seq	Homo sapiens	MYC-human	541778030	GRCh38
ENCFF420ZVF	bam	alignments	ENCSR000EHG	ChIP-seq	Homo sapiens	USF2-human	658300249	GRCh38
ENCFF683OIO	bam	alignments	ENCSR900RUE	ChIP-seq	Homo sapiens	FOSL2-human	676244615	GRCh38
ENCFF786JYF	bam	alignments	ENCSR951SNW	ChIP-seq	Homo sapiens	HES2-human	705198660	GRCh38
ENCFF613CHF	bam	alignments	ENCSR000EXL	ChIP-seq	Homo sapiens	TCF7L2-human	456819221	GRCh38
ENCFF590TPY	bam	alignments	ENCSR392SFJ	ChIP-seq	Homo sapiens	CTCF-human	3410169536	GRCh38
ENCFF805SCJ	bam	alignments	ENCSR000BMT	ChIP-seq	Homo sapiens	NANOG-human	384671859	GRCh38
ENCFF797FVU	bam	alignments	ENCSR757IIU	ChIP-seq	Homo sapiens	HMBOX1-human	1172487039	GRCh38
ENCFF829BQP	bam	alignments	ENCSR067XTW	ChIP-seq	Homo sapiens	FOSL2-human	754808523	GRCh38
ENCFF880OFW	bam	alignments	ENCSR485OYR	ChIP-seq	Homo sapiens	ZBTB25-human	1542873046	GRCh38
ENCFF149SVY	bam	alignments	ENCSR000DUU	ChIP-seq	Homo sapiens	CTCF-human	387848734	GRCh38
ENCFF290GQR	bam	alignments	ENCSR226QQM	ChIP-seq	Homo sapiens	NFIA-human	1711479022	GRCh38
ENCFF212PJG	bam	alignments	ENCSR000EBV	ChIP-seq	Homo sapiens	CEBPB-human	754118665	GRCh38
ENCFF572QQB	bam	alignments	ENCSR666QNP	ChIP-seq	Homo sapiens	TEAD3-human	1373685596	GRCh38
ENCFF779IQL	bam	alignments	ENCSR608XTF	ChIP-seq	Homo sapiens	RNF2-human	5647704314	GRCh38
ENCFF089XMI	bam	alignments	ENCSR000FAU	ChIP-seq	Homo sapiens	STAT1-human	321446364	GRCh38
ENCFF879CUM	bam	alignments	ENCSR528PSI	ChIP-seq	Homo sapiens	HLF-human	1943705307	GRCh38
ENCFF628FHG	bam	alignments	ENCSR017CEO	ChIP-seq	Homo sapiens	CUX1-human	4548235221	GRCh38
ENCFF538HJQ	bam	alignments	ENCSR978EQY	ChIP-seq	Homo sapiens	GLI2-human	3474553404	GRCh38
ENCFF412DRO	bam	alignments	ENCSR000FCD	ChIP-seq	Homo sapiens	SMAD5-human	1401333874	GRCh38
ENCFF514RAQ	bam	alignments	ENCSR425MXK	ChIP-seq	Homo sapiens	HES2-human	606319578	GRCh38
ENCFF738UWF	bam	alignments	ENCSR157CEN	ChIP-seq	Homo sapiens	ZNF205-human	1761292029	GRCh38
ENCFF982AFE	bam	alignments	ENCSR000EGE	ChIP-seq	Homo sapiens	EP300-human	865139476	GRCh38
ENCFF067KIS	bam	alignments	ENCSR807LQP	ChIP-seq	Homo sapiens	SP2-human	5485801631	GRCh38
ENCFF159AJM	bam	alignments	ENCSR324LTM	ChIP-seq	Homo sapiens	OSR2-human	3803745390	GRCh38
ENCFF577DPU	bam	alignments	ENCSR000BHE	ChIP-seq	Homo sapiens	NR3C1-human	546033690	GRCh38
ENCFF475QQN	bam	alignments	ENCSR000DRF	ChIP-seq	Homo sapiens	CTCF-human	206682878	GRCh38
ENCFF885FNR	bam	alignments	ENCSR000DRI	ChIP-seq	Homo sapiens	CTCF-human	423371871	GRCh38
ENCFF002FHN	bam	alignments	ENCSR000FCE	ChIP-seq	Homo sapiens	ETV6-human	1034444747	GRCh38
ENCFF535OXV	bam	alignments	ENCSR588MQZ	ChIP-seq	Homo sapiens	ZNF626-human	3324029132	GRCh38
ENCFF613CDR	bam	alignments	ENCSR000EWL	ChIP-seq	Homo sapiens	E2F4-human	115937822	GRCh38
ENCFF449CDS	bam	alignments	ENCSR223TAV	ChIP-seq	Homo sapiens	PRDM10-human	4028240150	GRCh38
ENCFF555QMG	bam	alignments	ENCSR230PTV	ChIP-seq	Homo sapiens	ZBTB2-human	4525972530	GRCh38
ENCFF955QCB	bam	alignments	ENCSR000DSZ	ChIP-seq	Homo sapiens	CTCF-human	433619344	GRCh38
ENCFF079SPF	bam	alignments	ENCSR957LDM	ChIP-seq	Homo sapiens	TRIM24-human	3657861769	GRCh38
ENCFF162MTY	bam	alignments	ENCSR839XZU	ChIP-seq	Homo sapiens	CREM-human	1054788070	GRCh38
ENCFF844CVM	bam	alignments	ENCSR408JQO	ChIP-seq	Homo sapiens	IRF3-human	4171149707	GRCh38
ENCFF363YKW	bam	alignments	ENCSR077DKV	ChIP-seq	Homo sapiens	CREM-human	970248899	GRCh38
ENCFF131WPU	bam	alignments	ENCSR000BNY	ChIP-seq	Homo sapiens	ZBTB33-human	160142741	GRCh38
ENCFF698NSE	bam	alignments	ENCSR501DKS	ChIP-seq	Homo sapiens	TCF7-human	1034909066	GRCh38
ENCFF215YFO	bam	alignments	ENCSR636YLV	ChIP-seq	Homo sapiens	MAZ-human	989605846	GRCh38
ENCFF417FHN	bam	alignments	ENCSR124BJR	ChIP-seq	Homo sapiens	ETV6-human	725898596	GRCh38
ENCFF246DMM	bam	alignments	ENCSR080CST	ChIP-seq	Homo sapiens	ZNF639-human	3976232014	GRCh38
ENCFF154GZC	bam	alignments	ENCSR000DYT	ChIP-seq	Homo sapiens	SREBF2-human	838024224	GRCh38
ENCFF122RSM	bam	alignments	ENCSR175SZH	ChIP-seq	Homo sapiens	ZSCAN29-human	3536898643	GRCh38
ENCFF183KFV	bam	alignments	ENCSR679KXF	ChIP-seq	Homo sapiens	ZNF23-human	4966926315	GRCh38
ENCFF687IOA	bam	alignments	ENCSR799GOY	ChIP-seq	Homo sapiens	YBX1-human	5840169144	GRCh38
ENCFF811NLF	bam	alignments	ENCSR000BIY	ChIP-seq	Homo sapiens	ESR1-human	438721804	GRCh38
ENCFF639ZZI	bam	alignments	ENCSR000DOO	ChIP-seq	Homo sapiens	FOS-human	905973959	GRCh38
ENCFF014BMO	bam	alignments	ENCSR000DON	ChIP-seq	Homo sapiens	FOS-human	597271965	GRCh38
ENCFF177BJF	bam	alignments	ENCSR000EBR	ChIP-seq	Homo sapiens	MXI1-human	831173782	GRCh38
ENCFF425FSK	bam	alignments	ENCSR000BND	ChIP-seq	Homo sapiens	ZEB1-human	210995610	GRCh38
ENCFF589IBH	bam	alignments	ENCSR953DVM	ChIP-seq	Homo sapiens	E2F8-human	3189099028	GRCh38
ENCFF812FMM	bam	alignments	ENCSR000EFF	ChIP-seq	Homo sapiens	MAZ-human	608698216	GRCh38
ENCFF993OXP	bam	alignments	ENCSR000BRP	ChIP-seq	Homo sapiens	TEAD4-human	195224823	GRCh38
ENCFF953ZZL	bam	alignments	ENCSR000EHE	ChIP-seq	Homo sapiens	CEBPB-human	630166655	GRCh38
ENCFF179SYB	bam	alignments	ENCSR396SKI	ChIP-seq	Homo sapiens	ZNF331-human	5023936314	GRCh38
ENCFF029SZC	bam	alignments	ENCSR000BMQ	ChIP-seq	Homo sapiens	EGR1-human	402367316	GRCh38
ENCFF581JII	bam	alignments	ENCSR000BQG	ChIP-seq	Homo sapiens	SP2-human	922849491	GRCh38
ENCFF198CVB	bam	alignments	ENCSR000EGM	ChIP-seq	Homo sapiens	CTCF-human	876019621	GRCh38
ENCFF445RPP	bam	alignments	ENCSR260UJI	ChIP-seq	Homo sapiens	MBD1-human	954650286	GRCh38
ENCFF799RPS	bam	alignments	ENCSR618GDK	ChIP-seq	Homo sapiens	CEBPZ-human	769223121	GRCh38
ENCFF545IDM	bam	alignments	ENCSR000DQW	ChIP-seq	Homo sapiens	CTCF-human	320670996	GRCh38
ENCFF023LTK	bam	alignments	ENCSR882ZTS	ChIP-seq	Homo sapiens	ZBTB11-human	3503752979	GRCh38
ENCFF339YFE	bam	alignments	ENCSR321MSF	ChIP-seq	Homo sapiens	ZBTB21-human	4773296352	GRCh38
ENCFF695AWZ	bam	alignments	ENCSR986XYK	ChIP-seq	Homo sapiens	PKNOX1-human	6050735920	GRCh38
ENCFF683OAK	bam	alignments	ENCSR000BMA	ChIP-seq	Homo sapiens	EP300-human	428515714	GRCh38
ENCFF488YFS	bam	alignments	ENCSR076STQ	ChIP-seq	Homo sapiens	ZBTB44-human	6787609894	GRCh38
ENCFF289YVM	bam	alignments	ENCSR000BNP	ChIP-seq	Homo sapiens	YY1-human	442490409	GRCh38
ENCFF239VPD	bam	alignments	ENCSR021DJC	ChIP-seq	Homo sapiens	BCL11A-human	2826836903	GRCh38
ENCFF014DRH	bam	alignments	ENCSR000EZU	ChIP-seq	Homo sapiens	MYC-human	261569545	GRCh38
ENCFF199XSZ	bam	alignments	ENCSR000EUL	ChIP-seq	Homo sapiens	NR2C2-human	483143173	GRCh38
ENCFF880ODJ	bam	alignments	ENCSR138FUZ	ChIP-seq	Homo sapiens	RNF2-human	859812040	GRCh38
ENCFF454MMY	bam	alignments	ENCSR000BNK	ChIP-seq	Homo sapiens	CTCFL-human	173515741	GRCh38
ENCFF268CBK	bam	alignments	ENCSR137ZMQ	ChIP-seq	Homo sapiens	REST-human	7580253131	GRCh38
ENCFF364NWO	bam	alignments	ENCSR892DRK	ChIP-seq	Homo sapiens	REST-human	1157142826	GRCh38
ENCFF905NBP	bam	alignments	ENCSR000DPF	ChIP-seq	Homo sapiens	CTCF-human	91884798	GRCh38
ENCFF356SGK	bam	alignments	ENCSR304AMN	ChIP-seq	Homo sapiens	IKZF3-human	3439334985	GRCh38
ENCFF951ITB	bam	alignments	ENCSR000FBC	ChIP-seq	Homo sapiens	STAT2-human	208193514	GRCh38
ENCFF069JAM	bam	alignments	ENCSR899JSO	ChIP-seq	Homo sapiens	CTCF-human	4269617818	GRCh38
ENCFF615LHE	bam	alignments	ENCSR000BNO	ChIP-seq	Homo sapiens	CTCF-human	670372018	GRCh38
ENCFF778KCK	bam	alignments	ENCSR797SWM	ChIP-seq	Homo sapiens	MITF-human	3498011102	GRCh38
ENCFF089WVR	bam	alignments	ENCSR217WRC	ChIP-seq	Homo sapiens	TSHZ1-human	5488565425	GRCh38
ENCFF867AMO	bam	alignments	ENCSR492ZIW	ChIP-seq	Homo sapiens	CTCF-human	3778127159	GRCh38
ENCFF431WUY	bam	alignments	ENCSR000EFI	ChIP-seq	Homo sapiens	CTCF-human	580121956	GRCh38
ENCFF462BSP	bam	alignments	ENCSR681NOM	ChIP-seq	Homo sapiens	CEBPB-human	571228033	GRCh38
ENCFF542CFD	bam	alignments	ENCSR473SUA	ChIP-seq	Homo sapiens	ESRRA-human	809415520	GRCh38
ENCFF423JON	bam	alignments	ENCSR945NFL	ChIP-seq	Homo sapiens	USF2-human	744105552	GRCh38
ENCFF435DKZ	bam	alignments	ENCSR000BIE	ChIP-seq	Homo sapiens	CTCF-human	863391414	GRCh38
ENCFF303OPV	bam	alignments	ENCSR076EZB	ChIP-seq	Homo sapiens	KLF9-human	3147307808	GRCh38
ENCFF723QZO	bam	alignments	ENCSR557RVF	ChIP-seq	Homo sapiens	ZHX1-human	780164998	GRCh38
ENCFF790FNF	bam	alignments	ENCSR000BRK	ChIP-seq	Homo sapiens	TEAD4-human	1122993833	GRCh38
ENCFF135MMH	bam	alignments	ENCSR468IJT	ChIP-seq	Homo sapiens	SP7-human	5348385620	GRCh38
ENCFF299JTX	bam	alignments	ENCSR000APF	ChIP-seq	Homo sapiens	CTCF-human	147195441	GRCh38
ENCFF128DGJ	bam	alignments	ENCSR535DIA	ChIP-seq	Homo sapiens	GLIS2-human	4481420240	GRCh38
ENCFF445RHN	bam	alignments	ENCSR000DKY	ChIP-seq	Homo sapiens	CTCF-human	460765647	GRCh38
ENCFF796CGI	bam	alignments	ENCSR851BNE	ChIP-seq	Homo sapiens	MEIS2-human	6472876511	GRCh38
ENCFF455QSR	bam	alignments	ENCSR000BGF	ChIP-seq	Homo sapiens	REST-human	343341036	GRCh38
ENCFF545GLE	bam	alignments	ENCSR000EXZ	ChIP-seq	Homo sapiens	GATA3-human	721752667	GRCh38
ENCFF103HWK	bam	alignments	ENCSR469WAO	ChIP-seq	Homo sapiens	CBX2-human	1066103310	GRCh38
ENCFF396NXZ	bam	alignments	ENCSR267DFA	ChIP-seq	Homo sapiens	FOXA1-human	4295734765	GRCh38
ENCFF198RTF	bam	alignments	ENCSR000FCC	ChIP-seq	Homo sapiens	NFE2-human	1065977334	GRCh38
ENCFF056WAK	bam	alignments	ENCSR000BRO	ChIP-seq	Homo sapiens	MYBL2-human	914686277	GRCh38
ENCFF064EQH	bam	alignments	ENCSR513MGG	ChIP-seq	Homo sapiens	ZNF302-human	3443961941	GRCh38
ENCFF037KRM	bam	alignments	ENCSR348ONY	ChIP-seq	Homo sapiens	ZFP41-human	5771339184	GRCh38
ENCFF705QJT	bam	alignments	ENCSR217HTK	ChIP-seq	Homo sapiens	ATF2-human	2677653317	GRCh38
ENCFF794NQC	bam	alignments	ENCSR000BVO	ChIP-seq	Homo sapiens	JUND-human	939515617	GRCh38
ENCFF074GYD	bam	alignments	ENCSR000EEK	ChIP-seq	Homo sapiens	JUN-human	732174413	GRCh38
ENCFF464LNE	bam	alignments	ENCSR417VWF	ChIP-seq	Homo sapiens	ZEB2-human	3972123160	GRCh38
ENCFF918CSI	bam	alignments	ENCSR782WRO	ChIP-seq	Homo sapiens	BMI1-human	829777510	GRCh38
ENCFF227TEG	bam	alignments	ENCSR194IJN	ChIP-seq	Homo sapiens	ZNF766-human	1125039299	GRCh38
ENCFF641NQL	bam	alignments	ENCSR157CAU	ChIP-seq	Homo sapiens	ZKSCAN1-human	918424237	GRCh38
ENCFF590MQC	bam	alignments	ENCSR738SLS	ChIP-seq	Homo sapiens	ZNF449-human	4904004857	GRCh38
ENCFF652BBO	bam	alignments	ENCSR210MET	ChIP-seq	Homo sapiens	ZNF391-human	2289712331	GRCh38
ENCFF805LSA	bam	alignments	ENCSR569XNP	ChIP-seq	Homo sapiens	FOS-human	5147427656	GRCh38
ENCFF325UFA	bam	alignments	ENCSR000BIW	ChIP-seq	Homo sapiens	GABPA-human	356890283	GRCh38
ENCFF600TNR	bam	alignments	ENCSR888XZK	ChIP-seq	Homo sapiens	TCF7L2-human	659318280	GRCh38
ENCFF035APX	bam	alignments	ENCSR279KDC	ChIP-seq	Homo sapiens	ZNF677-human	3201391082	GRCh38
ENCFF582UQP	bam	alignments	ENCSR440COG	ChIP-seq	Homo sapiens	ZNF239-human	4009461634	GRCh38
ENCFF676ZPL	bam	alignments	ENCSR000EUP	ChIP-seq	Homo sapiens	MAX-human	185921131	GRCh38
ENCFF130UZR	bam	alignments	ENCSR093HXE	ChIP-seq	Homo sapiens	ZNF16-human	2781340543	GRCh38
ENCFF475KUF	bam	alignments	ENCSR595FAO	ChIP-seq	Homo sapiens	ZNF510-human	4775830688	GRCh38
ENCFF820GHI	bam	alignments	ENCSR000DYG	ChIP-seq	Homo sapiens	MAX-human	801205900	GRCh38
ENCFF335MCG	bam	alignments	ENCSR003SZZ	ChIP-seq	Homo sapiens	CTCF-human	4161367426	GRCh38
ENCFF700AOV	bam	alignments	ENCSR770PQN	ChIP-seq	Homo sapiens	BCL11B-human	3040264100	GRCh38
ENCFF331BZT	bam	alignments	ENCSR000BNW	ChIP-seq	Homo sapiens	SIX5-human	816973410	GRCh38
ENCFF907RHN	bam	alignments	ENCSR776MDR	ChIP-seq	Homo sapiens	ZNF577-human	4266642598	GRCh38
ENCFF015CKI	bam	alignments	ENCSR000BNA	ChIP-seq	Homo sapiens	ZBTB33-human	371897305	GRCh38
