File accession	File format	Output type	Experiment accession	Assay	Biosample organism	Experiment target	Size	Assembly
ENCFF526VWA	bam	alignments	ENCSR546KCN	ChIP-seq	Homo sapiens	FOSL2-human	1559939865	GRCh38
ENCFF053PTC	bam	alignments	ENCSR000AUV	ChIP-seq	Homo sapiens	CTCF-human	62068883	GRCh38
ENCFF685DBQ	bam	alignments	ENCSR000AUV	ChIP-seq	Homo sapiens	CTCF-human	597166259	GRCh38
ENCFF112XEQ	bam	alignments	ENCSR000AUV	ChIP-seq	Homo sapiens	CTCF-human	827732842	GRCh38
ENCFF372XYO	bam	alignments	ENCSR553QMC	ChIP-seq	Homo sapiens	ZNF7-human	1642464166	GRCh38
ENCFF453XVL	bam	alignments	ENCSR553QMC	ChIP-seq	Homo sapiens	ZNF7-human	2717160667	GRCh38
ENCFF754GYS	bam	alignments	ENCSR004GKA	ChIP-seq	Homo sapiens	ZEB2-human	4515247950	GRCh38
ENCFF035CJB	bam	alignments	ENCSR004GKA	ChIP-seq	Homo sapiens	ZEB2-human	3247919616	GRCh38
ENCFF099HWJ	bam	alignments	ENCSR000EHV	ChIP-seq	Homo sapiens	EP300-human	931166035	GRCh38
ENCFF466XEY	bam	alignments	ENCSR000EHV	ChIP-seq	Homo sapiens	EP300-human	895772474	GRCh38
ENCFF910XWG	bam	alignments	ENCSR737UST	ChIP-seq	Homo sapiens	ZNF740-human	934006226	GRCh38
ENCFF338MSY	bam	alignments	ENCSR737UST	ChIP-seq	Homo sapiens	ZNF740-human	1321747395	GRCh38
ENCFF503VEU	bam	alignments	ENCSR000EBY	ChIP-seq	Homo sapiens	MYC-human	703537687	GRCh38
ENCFF705LAV	bam	alignments	ENCSR000EBY	ChIP-seq	Homo sapiens	MYC-human	874003462	GRCh38
ENCFF944TNR	bam	alignments	ENCSR000AUE	ChIP-seq	Homo sapiens	CTCF-human	274238842	GRCh38
ENCFF788OKP	bam	alignments	ENCSR000AUE	ChIP-seq	Homo sapiens	CTCF-human	662828120	GRCh38
ENCFF349TVK	bam	alignments	ENCSR000EIA	ChIP-seq	Homo sapiens	MXI1-human	727711855	GRCh38
ENCFF955PGN	bam	alignments	ENCSR000EIA	ChIP-seq	Homo sapiens	MXI1-human	958355511	GRCh38
ENCFF553QXD	bam	alignments	ENCSR633OVO	ChIP-seq	Homo sapiens	RFX3-human	2049119246	GRCh38
ENCFF685WAA	bam	alignments	ENCSR633OVO	ChIP-seq	Homo sapiens	RFX3-human	1928675958	GRCh38
ENCFF729SHE	bam	alignments	ENCSR541AMF	ChIP-seq	Homo sapiens	CTCF-human	3903325338	GRCh38
ENCFF044YLT	bam	alignments	ENCSR541AMF	ChIP-seq	Homo sapiens	CTCF-human	3659017765	GRCh38
ENCFF552FKA	bam	alignments	ENCSR000EBS	ChIP-seq	Homo sapiens	MAFK-human	939327840	GRCh38
ENCFF641ONS	bam	alignments	ENCSR000EBS	ChIP-seq	Homo sapiens	MAFK-human	706238848	GRCh38
ENCFF088ESD	bam	alignments	ENCSR000DPP	ChIP-seq	Homo sapiens	CTCF-human	370476317	GRCh38
ENCFF135FSJ	bam	alignments	ENCSR000DPP	ChIP-seq	Homo sapiens	CTCF-human	454791886	GRCh38
ENCFF503TSJ	bam	alignments	ENCSR000BRB	ChIP-seq	Homo sapiens	CREB1-human	482505324	GRCh38
ENCFF153QKB	bam	alignments	ENCSR000BRB	ChIP-seq	Homo sapiens	CREB1-human	385905189	GRCh38
ENCFF721HMO	bam	alignments	ENCSR006WUS	ChIP-seq	Homo sapiens	NEUROD1-human	2954895614	GRCh38
ENCFF309ZZR	bam	alignments	ENCSR006WUS	ChIP-seq	Homo sapiens	NEUROD1-human	5497021013	GRCh38
ENCFF651ZZS	bam	alignments	ENCSR265PFQ	ChIP-seq	Homo sapiens	CTCF-human	5086180150	GRCh38
ENCFF353RVO	bam	alignments	ENCSR307CKC	ChIP-seq	Homo sapiens	ZNF680-human	5028084865	GRCh38
ENCFF342AFE	bam	alignments	ENCSR307CKC	ChIP-seq	Homo sapiens	ZNF680-human	4582401070	GRCh38
ENCFF207QWX	bam	alignments	ENCSR714LZQ	ChIP-seq	Homo sapiens	ZNF664-human	4420693368	GRCh38
ENCFF740JFH	bam	alignments	ENCSR714LZQ	ChIP-seq	Homo sapiens	ZNF664-human	5506916906	GRCh38
ENCFF553GDL	bam	alignments	ENCSR000BNL	ChIP-seq	Homo sapiens	SP2-human	108646163	GRCh38
ENCFF375CFX	bam	alignments	ENCSR000BNL	ChIP-seq	Homo sapiens	SP2-human	645951122	GRCh38
ENCFF313RZR	bam	alignments	ENCSR000DYR	ChIP-seq	Homo sapiens	CUX1-human	482599241	GRCh38
ENCFF649NFF	bam	alignments	ENCSR000DYR	ChIP-seq	Homo sapiens	CUX1-human	881292251	GRCh38
ENCFF890OOH	bam	alignments	ENCSR000BIV	ChIP-seq	Homo sapiens	SRF-human	368406397	GRCh38
ENCFF575DNN	bam	alignments	ENCSR000BIV	ChIP-seq	Homo sapiens	SRF-human	553938593	GRCh38
ENCFF076LAL	bam	alignments	ENCSR252XWG	ChIP-seq	Homo sapiens	CTCF-human	3944951342	GRCh38
ENCFF675JRZ	bam	alignments	ENCSR000EDS	ChIP-seq	Homo sapiens	MAX-human	555495049	GRCh38
ENCFF388QKQ	bam	alignments	ENCSR000EDS	ChIP-seq	Homo sapiens	MAX-human	666666748	GRCh38
ENCFF250ZEU	bam	alignments	ENCSR415AEB	ChIP-seq	Homo sapiens	ZNF48-human	1915484676	GRCh38
ENCFF789XWO	bam	alignments	ENCSR415AEB	ChIP-seq	Homo sapiens	ZNF48-human	1258849045	GRCh38
ENCFF448PRG	bam	alignments	ENCSR826YMT	ChIP-seq	Homo sapiens	SMAD4-human	1861597559	GRCh38
ENCFF428YKP	bam	alignments	ENCSR826YMT	ChIP-seq	Homo sapiens	SMAD4-human	1783537266	GRCh38
ENCFF284MLL	bam	alignments	ENCSR603XLW	ChIP-seq	Homo sapiens	ZNF589-human	730792075	GRCh38
ENCFF465ZZG	bam	alignments	ENCSR603XLW	ChIP-seq	Homo sapiens	ZNF589-human	1121821316	GRCh38
ENCFF803DFJ	bam	alignments	ENCSR705ASR	ChIP-seq	Homo sapiens	ZSCAN23-human	4431395949	GRCh38
ENCFF995VXB	bam	alignments	ENCSR705ASR	ChIP-seq	Homo sapiens	ZSCAN23-human	5072598667	GRCh38
ENCFF229CPP	bam	alignments	ENCSR475SOC	ChIP-seq	Homo sapiens	ELF1-human	1510757725	GRCh38
ENCFF857SEI	bam	alignments	ENCSR475SOC	ChIP-seq	Homo sapiens	ELF1-human	1104102087	GRCh38
ENCFF767TQD	bam	alignments	ENCSR000DOP	ChIP-seq	Homo sapiens	FOS-human	836087212	GRCh38
ENCFF761HTF	bam	alignments	ENCSR000DOP	ChIP-seq	Homo sapiens	FOS-human	902648089	GRCh38
ENCFF191KBY	bam	alignments	ENCSR038RXU	ChIP-seq	Homo sapiens	GABPA-human	797442901	GRCh38
ENCFF519GHQ	bam	alignments	ENCSR038RXU	ChIP-seq	Homo sapiens	GABPA-human	1572684629	GRCh38
ENCFF970NDQ	bam	alignments	ENCSR351NON	ChIP-seq	Homo sapiens	ZNF629-human	4448448622	GRCh38
ENCFF423OJU	bam	alignments	ENCSR351NON	ChIP-seq	Homo sapiens	ZNF629-human	4702222000	GRCh38
ENCFF563UOO	bam	alignments	ENCSR443WKD	ChIP-seq	Homo sapiens	CTCF-human	2604375272	GRCh38
ENCFF458TQM	bam	alignments	ENCSR447ZTA	ChIP-seq	Homo sapiens	ZNF558-human	3777062046	GRCh38
ENCFF186YMP	bam	alignments	ENCSR447ZTA	ChIP-seq	Homo sapiens	ZNF558-human	4504820304	GRCh38
ENCFF049OXC	bam	alignments	ENCSR000AHD	ChIP-seq	Homo sapiens	CTCF-human	759570834	GRCh38
ENCFF959AJO	bam	alignments	ENCSR000AHD	ChIP-seq	Homo sapiens	CTCF-human	1275941725	GRCh38
ENCFF190HOH	bam	alignments	ENCSR594NSU	ChIP-seq	Homo sapiens	CTCF-human	2585712354	GRCh38
ENCFF970KZJ	bam	alignments	ENCSR668BTN	ChIP-seq	Homo sapiens	CTCF-human	4536317454	GRCh38
ENCFF832UST	bam	alignments	ENCSR000DZG	ChIP-seq	Homo sapiens	EP300-human	506260300	GRCh38
ENCFF120MJN	bam	alignments	ENCSR000DZG	ChIP-seq	Homo sapiens	EP300-human	486600264	GRCh38
ENCFF732IVC	bam	alignments	ENCSR000EBW	ChIP-seq	Homo sapiens	ZNF143-human	874998410	GRCh38
ENCFF016NAV	bam	alignments	ENCSR000EBW	ChIP-seq	Homo sapiens	ZNF143-human	932694569	GRCh38
ENCFF459MFF	bam	alignments	ENCSR000BRE	ChIP-seq	Homo sapiens	FOXA2-human	434257696	GRCh38
ENCFF381ISL	bam	alignments	ENCSR000BRE	ChIP-seq	Homo sapiens	FOXA2-human	295912410	GRCh38
ENCFF597WPX	bam	alignments	ENCSR750LYM	ChIP-seq	Homo sapiens	NR2C2-human	1380204496	GRCh38
ENCFF856EXS	bam	alignments	ENCSR750LYM	ChIP-seq	Homo sapiens	NR2C2-human	1735659003	GRCh38
ENCFF581AZU	bam	alignments	ENCSR239ZLZ	ChIP-seq	Homo sapiens	FOSL1-human	1366161373	GRCh38
ENCFF500HFO	bam	alignments	ENCSR239ZLZ	ChIP-seq	Homo sapiens	FOSL1-human	1505923252	GRCh38
ENCFF690YWW	bam	alignments	ENCSR257XVY	ChIP-seq	Homo sapiens	ZNF83-human	805892387	GRCh38
ENCFF180ZQP	bam	alignments	ENCSR257XVY	ChIP-seq	Homo sapiens	ZNF83-human	1433047478	GRCh38
ENCFF482NBS	bam	alignments	ENCSR669GUM	ChIP-seq	Homo sapiens	ZNF404-human	3814770458	GRCh38
ENCFF930CAN	bam	alignments	ENCSR669GUM	ChIP-seq	Homo sapiens	ZNF404-human	4805566200	GRCh38
ENCFF664APT	bam	alignments	ENCSR000DNA	ChIP-seq	Homo sapiens	CTCF-human	936074611	GRCh38
ENCFF663XYQ	bam	alignments	ENCSR000DNA	ChIP-seq	Homo sapiens	CTCF-human	950082673	GRCh38
ENCFF691KNW	bam	alignments	ENCSR754SOI	ChIP-seq	Homo sapiens	ZNF529-human	3845232246	GRCh38
ENCFF867NYN	bam	alignments	ENCSR754SOI	ChIP-seq	Homo sapiens	ZNF529-human	5261326314	GRCh38
ENCFF826JBZ	bam	alignments	ENCSR882ICT	ChIP-seq	Homo sapiens	ZNF384-human	7638320386	GRCh38
ENCFF412ASO	bam	alignments	ENCSR882ICT	ChIP-seq	Homo sapiens	ZNF384-human	8116145352	GRCh38
ENCFF652SLC	bam	alignments	ENCSR777YSB	ChIP-seq	Homo sapiens	ZNF781-human	2801652025	GRCh38
ENCFF167HRH	bam	alignments	ENCSR777YSB	ChIP-seq	Homo sapiens	ZNF781-human	3788668422	GRCh38
ENCFF278LWC	bam	alignments	ENCSR000DPS	ChIP-seq	Homo sapiens	CTCF-human	656700088	GRCh38
ENCFF692VVV	bam	alignments	ENCSR000DPS	ChIP-seq	Homo sapiens	CTCF-human	847082509	GRCh38
ENCFF579ORJ	bam	alignments	ENCSR792VMN	ChIP-seq	Homo sapiens	EP300-human	487614753	GRCh38
ENCFF125MBG	bam	alignments	ENCSR792VMN	ChIP-seq	Homo sapiens	EP300-human	627531249	GRCh38
ENCFF638HCT	bam	alignments	ENCSR407BEZ	ChIP-seq	Homo sapiens	ZHX2-human	992394488	GRCh38
ENCFF883YOY	bam	alignments	ENCSR407BEZ	ChIP-seq	Homo sapiens	ZHX2-human	1506467409	GRCh38
ENCFF505LKJ	bam	alignments	ENCSR000DRN	ChIP-seq	Homo sapiens	CTCF-human	436896839	GRCh38
ENCFF246CXG	bam	alignments	ENCSR000DRN	ChIP-seq	Homo sapiens	CTCF-human	659148017	GRCh38
ENCFF208WRC	bam	alignments	ENCSR000DRN	ChIP-seq	Homo sapiens	CTCF-human	449649599	GRCh38
ENCFF211RJJ	bam	alignments	ENCSR796VBR	ChIP-seq	Homo sapiens	HES2-human	627853944	GRCh38
ENCFF473OST	bam	alignments	ENCSR796VBR	ChIP-seq	Homo sapiens	HES2-human	756515071	GRCh38
ENCFF261HAG	bam	alignments	ENCSR796VBR	ChIP-seq	Homo sapiens	HES2-human	654401247	GRCh38
ENCFF791DRP	bam	alignments	ENCSR182OZC	ChIP-seq	Homo sapiens	CEBPB-human	498275186	GRCh38
ENCFF217RBI	bam	alignments	ENCSR182OZC	ChIP-seq	Homo sapiens	CEBPB-human	723753245	GRCh38
ENCFF997MKZ	bam	alignments	ENCSR000DLU	ChIP-seq	Homo sapiens	MYC-human	492668957	GRCh38
ENCFF014OEB	bam	alignments	ENCSR028NUR	ChIP-seq	Homo sapiens	ZNF592-human	2999132986	GRCh38
ENCFF521YRB	bam	alignments	ENCSR028NUR	ChIP-seq	Homo sapiens	ZNF592-human	3090826032	GRCh38
ENCFF577KAH	bam	alignments	ENCSR000DZF	ChIP-seq	Homo sapiens	MAX-human	647409185	GRCh38
ENCFF158TTY	bam	alignments	ENCSR000DZF	ChIP-seq	Homo sapiens	MAX-human	601003249	GRCh38
ENCFF044ZFD	bam	alignments	ENCSR000EFH	ChIP-seq	Homo sapiens	MAFK-human	728262178	GRCh38
ENCFF748XLG	bam	alignments	ENCSR000EFH	ChIP-seq	Homo sapiens	MAFK-human	810061375	GRCh38
ENCFF916TXZ	bam	alignments	ENCSR443MVV	ChIP-seq	Homo sapiens	PRDM4-human	4899062069	GRCh38
ENCFF210DLI	bam	alignments	ENCSR443MVV	ChIP-seq	Homo sapiens	PRDM4-human	4689867619	GRCh38
ENCFF277PVA	bam	alignments	ENCSR663WAR	ChIP-seq	Homo sapiens	REST-human	929951084	GRCh38
ENCFF031TYH	bam	alignments	ENCSR663WAR	ChIP-seq	Homo sapiens	REST-human	914337388	GRCh38
ENCFF193XUN	bam	alignments	ENCSR984MDV	ChIP-seq	Homo sapiens	ZNF24-human	4472134685	GRCh38
ENCFF703RJE	bam	alignments	ENCSR984MDV	ChIP-seq	Homo sapiens	ZNF24-human	3731549563	GRCh38
ENCFF063NKS	bam	alignments	ENCSR101FJU	ChIP-seq	Homo sapiens	ZNF384-human	848425799	GRCh38
ENCFF114WOS	bam	alignments	ENCSR101FJU	ChIP-seq	Homo sapiens	ZNF384-human	795307127	GRCh38
ENCFF204QUC	bam	alignments	ENCSR798NVH	ChIP-seq	Homo sapiens	CTCF-human	4255318741	GRCh38
ENCFF994ZHD	bam	alignments	ENCSR000BQK	ChIP-seq	Homo sapiens	ATF2-human	1074310346	GRCh38
ENCFF396BCM	bam	alignments	ENCSR000BQK	ChIP-seq	Homo sapiens	ATF2-human	962132180	GRCh38
ENCFF439NNR	bam	alignments	ENCSR000FAZ	ChIP-seq	Homo sapiens	MYC-human	282690289	GRCh38
ENCFF483RLD	bam	alignments	ENCSR000FAZ	ChIP-seq	Homo sapiens	MYC-human	305866783	GRCh38
ENCFF404QMD	bam	alignments	ENCSR000BID	ChIP-seq	Homo sapiens	BHLHE40-human	272813134	GRCh38
ENCFF964ESQ	bam	alignments	ENCSR000BID	ChIP-seq	Homo sapiens	BHLHE40-human	678130504	GRCh38
ENCFF097CBF	bam	alignments	ENCSR966PJJ	ChIP-seq	Homo sapiens	WT1-human	3687526702	GRCh38
ENCFF493ODC	bam	alignments	ENCSR966PJJ	ChIP-seq	Homo sapiens	WT1-human	5744763242	GRCh38
ENCFF972SQO	bam	alignments	ENCSR000BKD	ChIP-seq	Homo sapiens	YY1-human	350529840	GRCh38
ENCFF489EBO	bam	alignments	ENCSR000BKD	ChIP-seq	Homo sapiens	YY1-human	770713385	GRCh38
ENCFF276PEK	bam	alignments	ENCSR481FEC	ChIP-seq	Homo sapiens	ZBTB8A-human	4356995125	GRCh38
ENCFF861CWB	bam	alignments	ENCSR481FEC	ChIP-seq	Homo sapiens	ZBTB8A-human	3782532463	GRCh38
ENCFF930EXY	bam	alignments	ENCSR000BMZ	ChIP-seq	Homo sapiens	ELF1-human	621893194	GRCh38
ENCFF418EVV	bam	alignments	ENCSR000BMZ	ChIP-seq	Homo sapiens	ELF1-human	691222732	GRCh38
ENCFF994NWU	bam	alignments	ENCSR000AKB	ChIP-seq	Homo sapiens	CTCF-human	674838876	GRCh38
ENCFF538VCH	bam	alignments	ENCSR000AKB	ChIP-seq	Homo sapiens	CTCF-human	285968431	GRCh38
ENCFF801LQC	bam	alignments	ENCSR490LWA	ChIP-seq	Homo sapiens	CEBPG-human	6154385409	GRCh38
ENCFF092XPV	bam	alignments	ENCSR490LWA	ChIP-seq	Homo sapiens	CEBPG-human	7309611198	GRCh38
ENCFF111DMT	bam	alignments	ENCSR000ECB	ChIP-seq	Homo sapiens	TBP-human	730150773	GRCh38
ENCFF814NIM	bam	alignments	ENCSR000ECB	ChIP-seq	Homo sapiens	TBP-human	787799375	GRCh38
ENCFF494OJC	bam	alignments	ENCSR115SMW	ChIP-seq	Homo sapiens	PKNOX1-human	4311976089	GRCh38
ENCFF636IGK	bam	alignments	ENCSR115SMW	ChIP-seq	Homo sapiens	PKNOX1-human	4933959486	GRCh38
ENCFF580OKG	bam	alignments	ENCSR798EGJ	ChIP-seq	Homo sapiens	RNF2-human	1054928606	GRCh38
ENCFF804DKC	bam	alignments	ENCSR798EGJ	ChIP-seq	Homo sapiens	RNF2-human	992851318	GRCh38
ENCFF661DJE	bam	alignments	ENCSR558OMR	ChIP-seq	Homo sapiens	TFDP1-human	1249025176	GRCh38
ENCFF067ZUU	bam	alignments	ENCSR558OMR	ChIP-seq	Homo sapiens	TFDP1-human	2186556987	GRCh38
ENCFF115QJZ	bam	alignments	ENCSR000DUM	ChIP-seq	Homo sapiens	CTCF-human	537599378	GRCh38
ENCFF208QQC	bam	alignments	ENCSR000DUM	ChIP-seq	Homo sapiens	CTCF-human	715525529	GRCh38
ENCFF500YYZ	bam	alignments	ENCSR322CFO	ChIP-seq	Homo sapiens	ZEB2-human	3823902143	GRCh38
ENCFF717OYW	bam	alignments	ENCSR322CFO	ChIP-seq	Homo sapiens	ZEB2-human	4899233705	GRCh38
ENCFF031RFG	bam	alignments	ENCSR878DES	ChIP-seq	Homo sapiens	ZNF624-human	5003937494	GRCh38
ENCFF848TYC	bam	alignments	ENCSR878DES	ChIP-seq	Homo sapiens	ZNF624-human	5962924931	GRCh38
ENCFF351CVI	bam	alignments	ENCSR000DML	ChIP-seq	Homo sapiens	CTCF-human	815923509	GRCh38
ENCFF313OIM	bam	alignments	ENCSR000DML	ChIP-seq	Homo sapiens	CTCF-human	837358493	GRCh38
ENCFF179DZP	bam	alignments	ENCSR737LTZ	ChIP-seq	Homo sapiens	MYNN-human	1009499620	GRCh38
ENCFF022IWG	bam	alignments	ENCSR737LTZ	ChIP-seq	Homo sapiens	MYNN-human	1110930941	GRCh38
ENCFF472MGT	bam	alignments	ENCSR626VUC	ChIP-seq	Homo sapiens	ETV6-human	1304221358	GRCh38
ENCFF383ODW	bam	alignments	ENCSR626VUC	ChIP-seq	Homo sapiens	ETV6-human	1325427381	GRCh38
ENCFF746KIU	bam	alignments	ENCSR000ATN	ChIP-seq	Homo sapiens	CTCF-human	297455061	GRCh38
ENCFF765PTU	bam	alignments	ENCSR000ATN	ChIP-seq	Homo sapiens	CTCF-human	796478278	GRCh38
ENCFF239WGU	bam	alignments	ENCSR000EGS	ChIP-seq	Homo sapiens	MYC-human	541778030	GRCh38
ENCFF836IMK	bam	alignments	ENCSR000EGS	ChIP-seq	Homo sapiens	MYC-human	502999154	GRCh38
ENCFF420ZVF	bam	alignments	ENCSR000EHG	ChIP-seq	Homo sapiens	USF2-human	658300249	GRCh38
ENCFF434RFX	bam	alignments	ENCSR000EHG	ChIP-seq	Homo sapiens	USF2-human	664430927	GRCh38
ENCFF683OIO	bam	alignments	ENCSR900RUE	ChIP-seq	Homo sapiens	FOSL2-human	676244615	GRCh38
ENCFF280FHF	bam	alignments	ENCSR900RUE	ChIP-seq	Homo sapiens	FOSL2-human	673229112	GRCh38
ENCFF660PIT	bam	alignments	ENCSR900RUE	ChIP-seq	Homo sapiens	FOSL2-human	659533233	GRCh38
ENCFF786JYF	bam	alignments	ENCSR951SNW	ChIP-seq	Homo sapiens	HES2-human	705198660	GRCh38
ENCFF091ZVF	bam	alignments	ENCSR951SNW	ChIP-seq	Homo sapiens	HES2-human	546842256	GRCh38
ENCFF424ZCM	bam	alignments	ENCSR951SNW	ChIP-seq	Homo sapiens	HES2-human	728902685	GRCh38
ENCFF613CHF	bam	alignments	ENCSR000EXL	ChIP-seq	Homo sapiens	TCF7L2-human	456819221	GRCh38
ENCFF786INL	bam	alignments	ENCSR000EXL	ChIP-seq	Homo sapiens	TCF7L2-human	610458076	GRCh38
ENCFF590TPY	bam	alignments	ENCSR392SFJ	ChIP-seq	Homo sapiens	CTCF-human	3410169536	GRCh38
ENCFF805SCJ	bam	alignments	ENCSR000BMT	ChIP-seq	Homo sapiens	NANOG-human	384671859	GRCh38
ENCFF309DIF	bam	alignments	ENCSR000BMT	ChIP-seq	Homo sapiens	NANOG-human	342050881	GRCh38
ENCFF797FVU	bam	alignments	ENCSR757IIU	ChIP-seq	Homo sapiens	HMBOX1-human	1172487039	GRCh38
ENCFF202BLM	bam	alignments	ENCSR757IIU	ChIP-seq	Homo sapiens	HMBOX1-human	1077476746	GRCh38
ENCFF829BQP	bam	alignments	ENCSR067XTW	ChIP-seq	Homo sapiens	FOSL2-human	754808523	GRCh38
ENCFF934SUD	bam	alignments	ENCSR067XTW	ChIP-seq	Homo sapiens	FOSL2-human	524348887	GRCh38
ENCFF047HAR	bam	alignments	ENCSR067XTW	ChIP-seq	Homo sapiens	FOSL2-human	710631141	GRCh38
ENCFF880OFW	bam	alignments	ENCSR485OYR	ChIP-seq	Homo sapiens	ZBTB25-human	1542873046	GRCh38
ENCFF980FYC	bam	alignments	ENCSR485OYR	ChIP-seq	Homo sapiens	ZBTB25-human	2145487394	GRCh38
ENCFF149SVY	bam	alignments	ENCSR000DUU	ChIP-seq	Homo sapiens	CTCF-human	387848734	GRCh38
ENCFF161AGR	bam	alignments	ENCSR000DUU	ChIP-seq	Homo sapiens	CTCF-human	826723641	GRCh38
ENCFF290GQR	bam	alignments	ENCSR226QQM	ChIP-seq	Homo sapiens	NFIA-human	1711479022	GRCh38
ENCFF109RLL	bam	alignments	ENCSR226QQM	ChIP-seq	Homo sapiens	NFIA-human	1795598977	GRCh38
ENCFF212PJG	bam	alignments	ENCSR000EBV	ChIP-seq	Homo sapiens	CEBPB-human	754118665	GRCh38
ENCFF506VMG	bam	alignments	ENCSR000EBV	ChIP-seq	Homo sapiens	CEBPB-human	716416259	GRCh38
ENCFF572QQB	bam	alignments	ENCSR666QNP	ChIP-seq	Homo sapiens	TEAD3-human	1373685596	GRCh38
ENCFF501SZR	bam	alignments	ENCSR666QNP	ChIP-seq	Homo sapiens	TEAD3-human	4298388374	GRCh38
ENCFF779IQL	bam	alignments	ENCSR608XTF	ChIP-seq	Homo sapiens	RNF2-human	5647704314	GRCh38
ENCFF257OOQ	bam	alignments	ENCSR608XTF	ChIP-seq	Homo sapiens	RNF2-human	7653691891	GRCh38
